feature,psi
Year,14.395501313044473
Month,14.08296800430094
Week,12.331707906203263
WeekOfYear,12.331707906203263
Dept,0.0005939723990657521
Store,9.449710598712809e-05
Store_Max_Sales,8.664721389122748e-05
Store_Avg_Sales,7.18486277394165e-05
IsHoliday,6.5090934745847e-26
IsYearEnd,6.5090934745847e-26
IsBackToSchool,6.5090934745847e-26
DayOfWeek,6.5090934745847e-26
