feature,coefficient
IsYearEnd,0.12087710606534374
IsBackToSchool,-0.04337881163271027
Month,0.03599852828298719
Year,-0.020203952001434808
IsHoliday,0.009020472647356137
Store,-0.00869012937678082
Week,-0.0033139602345231807
WeekOfYear,-0.0033139602345226187
Dept,0.0015336854615365628
Store_Avg_Sales,6.896598511316799e-05
Store_Max_Sales,1.1741003762097846e-06
DayOfWeek,0.0
