feature,importance
Dept,0.7575533854164075
Store_Max_Sales,0.12361986895601683
Store_Avg_Sales,0.06099161712994124
Store,0.02785673958550308
Week,0.011906046702401288
WeekOfYear,0.01075608846288843
Year,0.005468321585468202
Month,0.001077257899443469
IsBackToSchool,0.0005367044707143489
IsHoliday,0.00017954050471292096
IsYearEnd,5.4429286502658556e-05
DayOfWeek,0.0
