feature,ks_stat,ks_p
Year,0.761986181597743,0.0
Week,0.6789747336188204,0.0
WeekOfYear,0.6789747336188204,0.0
Month,0.6561668570777214,0.0
Dept,0.005210832065684956,0.3383743312543144
Store_Max_Sales,0.003830273436362469,0.7243394780379759
Store,0.003442270666250913,0.8337589754703084
Store_Avg_Sales,0.0028941696784839377,0.9471582082300936
IsHoliday,0.0,1.0
IsYearEnd,0.0,1.0
IsBackToSchool,0.0,1.0
DayOfWeek,0.0,1.0
